rsi_length,n_ventana,rsi_buy_trigger,rsi_sell_trigger,floor_pct,factor_caida,factor_subida,pct_ath_proyectado,guardia_compra,guardia_precio_compra,guardia_precio_venta,usdt_reserva_pct,btc_acumula_pct,prof_zona_pct,pnl_pct,portfolio_final,usdt_final,btc_libre,btc_en_pos,btc_total,n_pos_final,total_compras,total_ventas,total_trades,ordenes_canceladas,max_drawdown,btc_total_usd,pnl_norm,btc_norm,port_norm,combo_score
14,10,20,90,15,3.5,1.5,500,True,False,True,0,0,0.0,461.7435,5617.43,20.68,0.0,0.04480956,0.04480956,22,23,1,24,8,32.11,5596.7557168908,0.9600823725923914,0.9413780236182446,0.9600683400279915,0.9544682613872674
14,10,20,90,15,3.5,1.5,350,True,False,False,0,1,0.0,461.4057,5614.06,21.55,2.86e-06,0.04477265,0.04477552,22,23,1,24,8,32.1,5592.504089233599,0.9539425972812684,0.9339062294218359,0.9539431832639648,0.9479318041199779
14,10,20,90,15,3.5,1.5,350,True,False,True,0,1,0.0,461.4057,5614.06,21.55,2.86e-06,0.04477265,0.04477552,22,23,1,24,8,32.1,5592.504089233599,0.9539425972812684,0.9339062294218359,0.9539431832639648,0.9479318041199779
14,10,20,90,15,3.5,1.5,350,True,False,True,0,0,0.0,461.3934,5613.93,21.59,0.0,0.04477427,0.04477427,22,23,1,24,8,32.1,5592.347963071099,0.9537190353027987,0.9336318539005221,0.9537069012522958,0.9476904540720151
14,10,20,90,15,3.5,1.5,350,True,False,False,0,0,0.0,461.3934,5613.93,21.59,0.0,0.04477427,0.04477427,22,23,1,24,8,32.1,5592.347963071099,0.9537190353027987,0.9336318539005221,0.9537069012522958,0.9476904540720151
14,20,20,90,15,3.5,1.5,750,False,True,False,0,1,0.0,458.9035,5589.04,83.63,4.88e-06,0.04407331,0.04407819,16,17,1,18,8,31.5,5505.4069237167005,0.9084631840678464,0.7808420035998076,0.9084679837874194,0.8701777898713493
14,20,20,90,15,3.5,1.5,750,False,True,True,0,1,0.0,458.9035,5589.04,83.63,4.88e-06,0.04407331,0.04407819,16,17,1,18,8,31.5,5505.4069237167005,0.9084631840678464,0.7808420035998076,0.9084679837874194,0.8701777898713493
14,20,20,90,15,3.5,1.5,750,True,True,False,0,1,0.0,458.9035,5589.04,83.63,4.88e-06,0.04407331,0.04407819,16,17,1,18,8,31.5,5505.4069237167005,0.9084631840678464,0.7808420035998076,0.9084679837874194,0.8701777898713493
14,20,20,90,15,3.5,1.5,750,True,True,True,0,1,0.0,458.9035,5589.04,83.63,4.88e-06,0.04407331,0.04407819,16,17,1,18,8,31.5,5505.4069237167005,0.9084631840678464,0.7808420035998076,0.9084679837874194,0.8701777898713493
14,20,20,90,15,3.5,1.5,750,False,True,False,0,0,0.0,458.8537,5588.54,83.74,0.0,0.04407331,0.04407331,16,17,1,18,8,31.5,5504.797407178299,0.907558030691606,0.7797708415645985,0.9075592068194629,0.869222109179075
14,20,20,90,15,3.5,1.5,750,True,True,True,0,0,0.0,458.8537,5588.54,83.74,0.0,0.04407331,0.04407331,16,17,1,18,8,31.5,5504.797407178299,0.907558030691606,0.7797708415645985,0.9075592068194629,0.869222109179075
14,20,20,90,15,3.5,1.5,750,True,True,False,0,0,0.0,458.8537,5588.54,83.74,0.0,0.04407331,0.04407331,16,17,1,18,8,31.5,5504.797407178299,0.907558030691606,0.7797708415645985,0.9075592068194629,0.869222109179075
14,20,20,90,15,3.5,1.5,750,False,True,True,0,0,0.0,458.8537,5588.54,83.74,0.0,0.04407331,0.04407331,16,17,1,18,8,31.5,5504.797407178299,0.907558030691606,0.7797708415645985,0.9075592068194629,0.869222109179075
14,20,20,90,15,3.5,1.5,500,True,True,True,0,1,0.0,457.0822,5570.82,87.69,6.68e-06,0.04389317,0.04389986,16,17,1,18,8,31.46,5483.133340869799,0.8753596530608904,0.7416984942271388,0.8753521510750832,0.8352598050136035
14,20,20,90,15,3.5,1.5,500,True,True,False,0,1,0.0,457.0822,5570.82,87.69,6.68e-06,0.04389317,0.04389986,16,17,1,18,8,31.46,5483.133340869799,0.8753596530608904,0.7416984942271388,0.8753521510750832,0.8352598050136035
14,20,20,90,15,3.5,1.5,500,False,True,False,0,1,0.0,457.0822,5570.82,87.69,6.68e-06,0.04389317,0.04389986,16,17,1,18,8,31.46,5483.133340869799,0.8753596530608904,0.7416984942271388,0.8753521510750832,0.8352598050136035
14,20,20,90,15,3.5,1.5,500,False,True,True,0,1,0.0,457.0822,5570.82,87.69,6.68e-06,0.04389317,0.04389986,16,17,1,18,8,31.46,5483.133340869799,0.8753596530608904,0.7416984942271388,0.8753521510750832,0.8352598050136035
14,20,20,90,15,3.5,1.5,500,True,True,False,0,0,0.0,457.0139,5570.14,87.84,0.0,0.04389317,0.04389317,16,17,1,18,8,31.46,5482.2977536481,0.8741182479284159,0.7402300364370697,0.8741162143986635,0.8339513777750616
14,20,20,90,15,3.5,1.5,500,False,True,False,0,0,0.0,457.0139,5570.14,87.84,0.0,0.04389317,0.04389317,16,17,1,18,8,31.46,5482.2977536481,0.8741182479284159,0.7402300364370697,0.8741162143986635,0.8339513777750616
14,20,20,90,15,3.5,1.5,500,True,True,True,0,0,0.0,457.0139,5570.14,87.84,0.0,0.04389317,0.04389317,16,17,1,18,8,31.46,5482.2977536481,0.8741182479284159,0.7402300364370697,0.8741162143986635,0.8339513777750616
14,20,20,90,15,3.5,1.5,500,False,True,True,0,0,0.0,457.0139,5570.14,87.84,0.0,0.04389317,0.04389317,16,17,1,18,8,31.46,5482.2977536481,0.8741182479284159,0.7402300364370697,0.8741162143986635,0.8339513777750616
14,30,20,90,15,3.5,1.5,750,True,True,True,0,1,0.0,456.9806,5569.81,65.99,3.48e-06,0.04406197,0.04406545,17,18,1,19,8,31.67,5503.8156858685,0.873512994767195,0.7780455682865796,0.8735164215998122,0.8448734521895338
14,30,20,90,15,3.5,1.5,750,True,True,False,0,1,0.0,456.9806,5569.81,65.99,3.48e-06,0.04406197,0.04406545,17,18,1,19,8,31.67,5503.8156858685,0.873512994767195,0.7780455682865796,0.8735164215998122,0.8448734521895338
14,30,20,90,15,3.5,1.5,750,False,True,True,0,1,0.0,456.9806,5569.81,65.99,3.48e-06,0.04406197,0.04406545,17,18,1,19,8,31.67,5503.8156858685,0.873512994767195,0.7780455682865796,0.8735164215998122,0.8448734521895338
14,30,20,90,15,3.5,1.5,750,False,True,False,0,1,0.0,456.9806,5569.81,65.99,3.48e-06,0.04406197,0.04406545,17,18,1,19,8,31.67,5503.8156858685,0.873512994767195,0.7780455682865796,0.8735164215998122,0.8448734521895338
14,30,20,90,15,3.5,1.5,750,True,True,True,0,0,0.0,456.945,5569.45,66.07,0.0,0.04406197,0.04406197,17,18,1,19,8,31.67,5503.381030632099,0.8728659373335778,0.7772817068352428,0.8728621021828825,0.8441899011539382
14,30,20,90,15,3.5,1.5,750,False,True,False,0,0,0.0,456.945,5569.45,66.07,0.0,0.04406197,0.04406197,17,18,1,19,8,31.67,5503.381030632099,0.8728659373335778,0.7772817068352428,0.8728621021828825,0.8441899011539382
14,30,20,90,15,3.5,1.5,750,True,True,False,0,0,0.0,456.945,5569.45,66.07,0.0,0.04406197,0.04406197,17,18,1,19,8,31.67,5503.381030632099,0.8728659373335778,0.7772817068352428,0.8728621021828825,0.8441899011539382
14,30,20,90,15,3.5,1.5,750,False,True,True,0,0,0.0,456.945,5569.45,66.07,0.0,0.04406197,0.04406197,17,18,1,19,8,31.67,5503.381030632099,0.8728659373335778,0.7772817068352428,0.8728621021828825,0.8441899011539382
14,30,20,90,15,3.5,1.5,750,True,False,False,0,1,0.0,456.5442,5565.44,4.18,4.7e-07,0.04452488,0.04452535,30,31,1,32,8,33.32,5561.2576235755,0.8655810884741981,0.8789938100882388,0.8655737108998708,0.8696034294435449
14,30,20,90,15,3.5,1.5,750,True,False,True,0,1,0.0,456.5442,5565.44,4.18,4.7e-07,0.04452488,0.04452535,30,31,1,32,8,33.32,5561.2576235755,0.8655810884741981,0.8789938100882388,0.8655737108998708,0.8696034294435449
14,30,20,90,15,3.5,1.5,750,True,False,True,0,0,0.0,456.5426,5565.43,4.19,0.0,0.04452518,0.04452518,30,31,1,32,8,33.32,5561.236390417399,0.8655520072412266,0.8789564950173401,0.8655555353605129,0.869574059197918
14,30,20,90,15,3.5,1.5,750,True,False,False,0,0,0.0,456.5426,5565.43,4.19,0.0,0.04452518,0.04452518,30,31,1,32,8,33.32,5561.236390417399,0.8655520072412266,0.8789564950173401,0.8655555353605129,0.869574059197918
14,20,20,90,15,3.5,1.5,750,False,False,True,0,1,0.0,456.5376,5565.38,1.74,4.1e-07,0.04454399,0.0445444,77,78,1,79,8,32.29,5563.636986291999,0.8654611283881906,0.8831752930330564,0.8654646576637169,0.8707760836367556
14,20,20,90,15,3.5,1.5,750,False,False,False,0,1,0.0,456.5376,5565.38,1.74,4.1e-07,0.04454399,0.0445444,77,78,1,79,8,32.29,5563.636986291999,0.8654611283881906,0.8831752930330564,0.8654646576637169,0.8707760836367556
14,20,20,90,15,3.5,1.5,750,False,False,False,0,0,0.0,456.5372,5565.37,1.74,0.0,0.04454436,0.04454436,77,78,1,79,8,32.29,5563.631990254799,0.8654538580799473,0.8831665130163744,0.8654464821243574,0.8707661793697575
14,20,20,90,15,3.5,1.5,750,False,False,True,0,0,0.0,456.5372,5565.37,1.74,0.0,0.04454436,0.04454436,77,78,1,79,8,32.29,5563.631990254799,0.8654538580799473,0.8831665130163744,0.8654464821243574,0.8707661793697575
14,20,20,90,15,3.5,1.5,500,False,False,False,0,1,0.0,456.5219,5565.22,1.78,5.7e-07,0.04454224,0.0445428,77,78,1,79,8,32.29,5563.437144804,0.8651757687896573,0.8828240923657756,0.8651738490339711,0.8704698819113555
14,20,20,90,15,3.5,1.5,500,False,False,True,0,1,0.0,456.5219,5565.22,1.78,5.7e-07,0.04454224,0.0445428,77,78,1,79,8,32.29,5563.437144804,0.8651757687896573,0.8828240923657756,0.8651738490339711,0.8704698819113555
