rank,rsi_length,N,pnl_pct,portfolio_final,total_trades,total_compras,total_ventas,max_racha_compras,max_racha_ventas,avg_racha_compras,avg_racha_ventas,positions_count_final,usdt_balance_final,btc_balance_final,btc_en_posiciones
618,7,34,-29.4191,705.809,306,166,140,7,7,3.39,2.92,26,15.7908,0.0,0.04348906
619,7,33,-29.4194,705.8062,311,169,142,7,7,3.31,2.84,27,15.7879,0.0,0.04348906
620,7,37,-29.4447,705.5531,292,158,134,7,7,3.36,2.91,24,14.1589,0.0,0.04357578
621,10,30,-29.4584,705.4161,313,166,147,7,7,3.32,3.0,19,84.7557,0.0,0.03911771
622,8,45,-29.4734,705.2663,276,150,126,7,7,3.75,3.23,24,23.1453,0.0,0.04299133
623,7,36,-29.4813,705.1867,299,164,135,7,7,3.42,2.87,29,14.1181,0.0,0.04355526
624,7,35,-29.4952,705.0485,302,165,137,7,7,3.44,2.91,28,14.1115,0.0,0.04354696
625,8,44,-29.5153,704.8467,277,151,126,7,7,3.77,3.23,25,23.8452,0.0,0.04292076
626,7,38,-29.5167,704.8331,289,157,132,7,7,3.49,3.0,25,12.5205,0.0,0.04363366
627,17,17,-29.524,704.7598,262,140,122,7,7,3.41,3.05,18,85.342,0.0,0.03903939
628,12,18,-29.5578,704.4216,299,157,142,7,7,3.14,2.9,15,100.0107,0.0,0.03809357
629,8,13,-29.5709,704.2909,334,177,157,7,7,2.95,2.66,20,67.0439,0.0,0.0401631
630,11,35,-29.5719,704.2812,277,144,133,7,7,3.43,3.24,11,27.2496,0.0,0.04267056
631,16,17,-29.5754,704.2462,268,140,128,7,7,3.41,3.2,12,89.7184,0.0,0.0387312
632,11,34,-29.6157,703.8428,279,144,135,7,7,3.35,3.21,9,27.8903,0.0,0.04260255
633,11,33,-29.6169,703.8311,284,147,137,7,7,3.34,3.19,10,27.8653,0.0,0.04260339
634,11,32,-29.617,703.8302,287,149,138,7,7,3.31,3.14,11,27.8597,0.0,0.04260369
635,11,47,-29.6179,703.8208,268,143,125,7,7,3.67,3.29,18,26.2537,0.0,0.04270431
636,11,46,-29.6179,703.8209,270,144,126,7,7,3.51,3.15,18,26.2577,0.0,0.04270407
637,11,48,-29.6184,703.8158,266,142,124,7,7,3.74,3.35,18,26.2573,0.0,0.04270377
638,11,37,-29.6296,703.7038,275,144,131,7,7,3.43,3.2,13,27.1969,0.0,0.04263749
639,11,40,-29.6343,703.6571,267,142,125,7,7,3.55,3.21,17,27.0973,0.0,0.04264083
640,11,41,-29.6343,703.6571,268,142,126,7,7,3.55,3.23,16,27.0973,0.0,0.04264083
641,11,39,-29.6345,703.6549,272,143,129,7,7,3.49,3.23,14,27.097,0.0,0.04264071
642,11,42,-29.6345,703.6545,271,144,127,7,7,3.51,3.17,17,27.0969,0.0,0.04264069
643,11,43,-29.6364,703.6361,272,145,127,7,7,3.54,3.17,18,27.0954,0.0,0.04263963
644,9,16,-29.6513,703.4868,333,173,160,7,7,2.98,2.81,13,41.5667,0.0,0.04171814
645,11,38,-29.6585,703.4151,275,144,131,7,7,3.51,3.27,13,26.5879,0.0,0.04265768
646,9,22,-29.6694,703.3061,343,185,158,7,7,3.25,2.82,27,25.4976,0.0,0.04271953
647,10,46,-29.6783,703.2173,277,148,129,7,7,3.61,3.23,19,25.3873,0.0,0.04272088
648,10,47,-29.6786,703.2139,275,147,128,7,7,3.67,3.28,19,25.3678,0.0,0.0427219
649,10,48,-29.6786,703.2139,273,146,127,7,7,3.74,3.34,19,25.3871,0.0,0.04272068
650,10,41,-29.6967,703.033,278,148,130,7,7,3.52,3.17,18,26.199,0.0,0.04265811
651,10,39,-29.6967,703.0331,279,148,131,7,7,3.52,3.2,17,26.199,0.0,0.04265811
652,10,40,-29.6967,703.033,277,148,129,7,7,3.52,3.15,19,26.199,0.0,0.04265811
653,10,42,-29.6969,703.0308,278,148,130,7,7,3.52,3.17,18,26.1986,0.0,0.04265799
654,9,17,-29.6983,703.0172,338,178,160,7,7,3.07,2.81,18,71.5978,0.0,0.03979581
655,10,43,-29.6988,703.0121,280,150,130,7,7,3.57,3.17,20,26.1971,0.0,0.04265691
656,12,22,-29.7204,702.7956,302,162,140,7,7,3.31,2.92,22,41.7731,0.0,0.04166157
657,12,23,-29.7475,702.5254,301,161,140,7,7,3.29,2.92,21,41.9251,0.0,0.04163496
658,11,36,-29.7486,702.5145,277,146,131,7,7,3.48,3.2,15,27.0986,0.0,0.04256873
