pct_caida_ath,pct_caida,pct_venta,floor_pct,pendiente,last_op_on_sell,pnl_pct,portfolio_final,usdt_final,btc_libre,btc_en_pos,btc_total,n_pos_final,total_compras,total_ventas,total_trades,max_drawdown,btc_libre_usd,btc_total_usd,pnl_norm,btcl_norm,btct_norm,combo_score
0.4,0.03,0.06,25,91,True,70.0757,1700.76,1000.0,0.01104262,-0.0,0.01104262,0,167,167,334,61.74,700.756935366,700.756935366,0.9507504504402415,0.9507316204637912,0.27477564102564095,0.8155498395643863
0.4,0.015,0.05,30,96,True,70.0721,1700.72,1000.0,0.01104206,0.0,0.01104206,0,170,170,340,62.79,700.7213981579999,700.7213981579999,0.9506994572053442,0.9506812631064014,0.2745961538461537,0.8154733383038233
0.4,0.02,0.035,30,86,True,70.0031,1700.03,1000.0,0.01103117,0.0,0.01103117,0,283,283,566,61.49,700.030326381,700.030326381,0.9497220868698086,0.9497019923528756,0.27110576923076923,0.8139927949869208
0.4,0.02,0.06,30,56,True,69.9981,1699.98,1000.0,0.01103039,-0.0,0.01103039,0,255,255,510,61.94,699.980828127,699.980828127,0.949651262932451,0.9496318517479397,0.2708557692307691,0.8138863408367611
0.4,0.025,0.06,25,91,True,69.971,1699.71,1000.0,0.01102612,0.0,0.01102612,0,175,175,350,62.02,699.709856916,699.709856916,0.9492673971919726,0.949247876897843,0.26948717948717965,0.813305497562775
0.4,0.02,0.05,25,76,True,69.8748,1698.75,1000.0,0.01101096,-0.0,0.01101096,0,259,259,518,61.99,698.747813928,698.747813928,0.9479047446372114,0.9478846312942201,0.2646282051282053,0.8112434027325127
0.4,0.02,0.05,30,66,True,69.874,1698.74,1000.0,0.01101083,0.0,0.01101083,0,259,259,518,61.99,698.7395642189999,698.7395642189999,0.9478934128072342,0.9478729411933974,0.2645865384615383,0.8112258964539439
0.4,0.025,0.055,30,86,True,69.8605,1698.61,1000.0,0.01100871,0.0,0.01100871,0,166,166,332,62.12,698.605030503,698.605030503,0.9477021881763686,0.9476823026261362,0.2639070512820513,0.8109371951324355
0.4,0.04,0.06,15,21,True,69.8495,1698.5,1000.0,0.01100698,-0.0,0.01100698,0,176,176,352,41.6,698.495245914,698.495245914,0.9475463755141819,0.9475267343613427,0.263352564102564,0.8107017208860066
0.4,0.02,0.045,30,96,True,69.819,1698.19,1000.0,0.01100216,0.0,0.01100216,0,183,183,366,62.42,698.189372088,698.189372088,0.9471143494963002,0.947093301392381,0.2618076923076925,0.8100467036274029
0.4,0.035,0.06,30,91,True,69.7997,1698.0,1000.0,0.01099912,-0.0,0.01099912,0,132,132,264,61.64,697.996455816,697.996455816,0.9468409690980997,0.9468199328808364,0.2608333333333332,0.8096331310799674
0.4,0.02,0.035,25,96,True,69.7746,1697.75,1000.0,0.01099517,0.0,0.01099517,0,291,291,582,61.44,697.745791581,697.745791581,0.9464854329325644,0.9464647336635338,0.25956730769230785,0.8090955981038039
0.4,0.025,0.05,20,96,True,69.7584,1697.58,1000.0,0.01099262,-0.0,0.01099262,0,229,229,458,61.72,697.583970366,697.583970366,0.9462559633755254,0.9462354278397053,0.25875000000000004,0.8087486100396742
0.4,0.02,0.06,15,86,True,69.7503,1697.5,1000.0,0.01099135,-0.0,0.01099135,0,264,264,528,61.88,697.5033770550001,697.5033770550001,0.9461412285970061,0.9461212245470536,0.25834294871794894,0.8085755714062088
0.4,0.015,0.05,30,91,True,69.7117,1697.12,1000.0,0.01098527,0.0,0.01098527,0,173,173,346,62.74,697.117544511,697.117544511,0.9455944678006051,0.9455744875239647,0.2563942307692309,0.807748426311338
0.4,0.04,0.06,25,11,True,69.6997,1697.0,1000.0,0.01098336,-0.0,0.01098336,0,176,176,352,34.65,696.996337248,696.996337248,0.9454244903509469,0.9454027329657245,0.2557820512820511,0.807489475321601
0.4,0.025,0.06,30,76,True,69.6978,1696.98,1000.0,0.01098307,0.0,0.01098307,0,183,183,366,61.95,696.977934051,696.977934051,0.9453975772547509,0.9453766550485049,0.25568910256410243,0.8074496056547474
0.4,0.025,0.05,30,71,True,69.6324,1696.32,1000.0,0.01097276,-0.0,0.01097276,0,231,231,462,61.69,696.323668668,696.323668668,0.944471200154113,0.9444495401294184,0.2523846153846154,0.8060473851928052
0.4,0.04,0.06,30,11,True,69.6243,1696.24,1000.0,0.01097148,0.0,0.01097148,0,176,176,352,37.65,696.2424407640001,696.2424407640001,0.9443564653755936,0.9443344375982419,0.2519743589743592,0.8058734357621413
0.4,0.03,0.06,30,76,True,69.6183,1696.18,1000.0,0.01097054,-0.0,0.01097054,0,175,175,350,61.66,696.1827890220001,696.1827890220001,0.9442714766507644,0.9442499091769091,0.2516730769230773,0.8057453264630704
0.4,0.025,0.055,25,96,True,69.6,1696.0,1000.0,0.01096766,0.0,0.01096766,0,170,170,340,62.07,696.000026238,696.000026238,0.9440122610400353,0.9439909284817617,0.25075000000000025,0.8053534090645461
0.4,0.02,0.05,20,86,True,69.572,1695.72,1000.0,0.01096325,0.0,0.01096325,0,260,260,520,61.95,695.7201707250001,695.7201707250001,0.9436156469908327,0.9435943642923174,0.24933653846153878,0.8047534404754193
0.4,0.025,0.06,25,86,True,69.5694,1695.69,1000.0,0.01096284,0.0,0.01096284,0,189,189,378,61.91,695.694152412,695.694152412,0.9435788185434066,0.9435574955127998,0.2492051282051282,0.8046976835665689
0.4,0.02,0.035,30,81,True,69.5545,1695.54,1000.0,0.01096048,-0.0,0.01096048,0,299,299,598,61.4,695.544388464,695.544388464,0.9433677632100809,0.9433452752209429,0.24844871794871798,0.8043772077610669
0.4,0.04,0.06,25,16,True,69.5486,1695.49,1000.0,0.01095957,-0.0,0.01095957,0,176,176,352,42.44,695.486640501,695.486640501,0.9432841909639987,0.9432634445151845,0.24815705128205137,0.804252539092965
0.4,0.025,0.05,25,81,True,69.5289,1695.29,1000.0,0.01095645,0.0,0.01095645,0,237,237,474,61.68,695.288647485,695.288647485,0.9430051446508095,0.9429828820954416,0.2471570512820512,0.8038288472104475
0.4,0.02,0.045,30,91,True,69.4834,1694.83,1000.0,0.01094928,0.0,0.01094928,0,198,198,396,62.35,694.833644304,694.833644304,0.9423606468208552,0.9423381280731477,0.24485897435897458,0.8028535567041668
