rank_pnl,rsi_length,N,floor_pct,factor_caida,factor_subida,rsi_buy_trigger,rsi_sell_trigger,guardia_compra,guardia_prec_compra,guardia_prec_venta,pnl_pct,portfolio_final,usdt_final,btc_posiciones,precio_prom_fin,total_trades,total_compras,total_ventas,positions_count,pnl_por_trade,max_drawdown,div_compra_det,div_compra_apr,tasa_apr_compra,div_venta_det,div_venta_apr,tasa_apr_venta,btc_value,pnl_norm,btc_norm,equilibrio_score
107,21,24,25,5.0,4.0,17.5,87.5,True,True,True,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,235,6,2.6,263,0,0.0,2776.259240937,0.0,0.0,0.0
108,21,24,25,5.0,3.5,17.5,90.0,True,False,True,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,235,6,2.6,263,0,0.0,2776.259240937,0.0,0.0,0.0
109,21,24,25,5.0,3.0,17.5,87.5,False,False,False,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,235,6,2.6,263,0,0.0,2776.259240937,0.0,0.0,0.0
110,21,24,25,5.0,3.0,17.5,87.5,True,True,True,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,235,6,2.6,263,0,0.0,2776.259240937,0.0,0.0,0.0
111,21,30,25,5.0,3.0,17.5,87.5,True,False,False,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,231,6,2.6,259,0,0.0,2776.259240937,0.0,0.0,0.0
112,21,30,25,5.0,4.0,17.5,87.5,True,False,True,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,231,6,2.6,259,0,0.0,2776.259240937,0.0,0.0,0.0
113,21,24,25,5.0,2.5,17.5,90.0,True,True,True,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,235,6,2.6,263,0,0.0,2776.259240937,0.0,0.0,0.0
114,21,24,25,5.0,2.0,17.5,90.0,True,True,True,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,235,6,2.6,263,0,0.0,2776.259240937,0.0,0.0,0.0
115,21,24,25,5.0,4.0,17.5,90.0,False,False,True,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,235,6,2.6,263,0,0.0,2776.259240937,0.0,0.0,0.0
116,21,30,25,5.0,1.0,17.5,90.0,False,True,True,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,231,6,2.6,259,0,0.0,2776.259240937,0.0,0.0,0.0
117,21,30,25,5.0,2.0,17.5,90.0,True,True,False,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,231,6,2.6,259,0,0.0,2776.259240937,0.0,0.0,0.0
118,21,30,25,5.0,0.5,17.5,90.0,True,True,False,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,231,6,2.6,259,0,0.0,2776.259240937,0.0,0.0,0.0
119,21,24,25,5.0,2.0,17.5,90.0,False,False,True,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,235,6,2.6,263,0,0.0,2776.259240937,0.0,0.0,0.0
120,21,30,25,5.0,0.5,17.5,87.5,True,False,False,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,231,6,2.6,259,0,0.0,2776.259240937,0.0,0.0,0.0
121,21,24,25,5.0,3.5,17.5,87.5,True,True,False,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,235,6,2.6,263,0,0.0,2776.259240937,0.0,0.0,0.0
122,21,24,25,5.0,3.0,17.5,90.0,True,False,True,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,235,6,2.6,263,0,0.0,2776.259240937,0.0,0.0,0.0
123,21,30,25,5.0,0.5,17.5,90.0,False,False,False,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,231,6,2.6,259,0,0.0,2776.259240937,0.0,0.0,0.0
