rank,floor_pct,factor_caida,factor_subida,portfolio_final,pnl_pct,btc_acumulado,btc_value,btc_ratio,bear_score,usdt_final,min_usdt,sobrevivio,total_compras,total_ventas,precio_prom_final
138,10,1.5,1.0,586.47,-41.353,0.03695983,586.42,0.9999,0.021676,0.05,0.05,False,42,33,28437.37
139,20,3.0,2.5,586.32,-41.368,0.03695338,586.32,1.0,0.021667,0.0,0.0,False,42,57,27791.29
140,10,2.0,2.0,579.97,-42.003,0.03649509,579.05,0.9984,0.021166,0.92,0.92,False,42,40,28092.35
141,15,2.5,2.5,579.55,-42.045,0.03651759,579.41,0.9998,0.021164,0.14,0.14,False,42,47,27965.45
142,15,2.0,1.5,579.27,-42.073,0.036508,579.25,1.0,0.021148,0.01,0.01,False,42,40,28717.23
143,25,2.0,0.5,577.62,-42.238,0.03640485,577.62,1.0,0.021028,0.0,0.0,False,39,78,29039.61
144,25,3.5,2.5,577.05,-42.295,0.03636882,577.05,1.0,0.020986,-0.0,-0.0,False,38,64,28407.9
145,25,3.0,2.0,572.04,-42.796,0.03605333,572.04,1.0,0.020624,0.0,0.0,False,38,56,29182.82
146,20,1.5,0.5,570.26,-42.974,0.03594118,570.26,1.0,0.020496,0.0,0.0,False,42,70,29659.81
147,25,2.5,1.5,569.44,-43.056,0.03588937,569.44,1.0,0.020437,-0.0,-0.0,False,38,48,29759.09
148,20,3.0,3.0,565.78,-43.422,0.03565898,565.78,1.0,0.020175,0.0,0.0,False,42,55,28507.47
149,20,2.5,2.0,563.74,-43.626,0.03553017,563.74,1.0,0.02003,0.0,0.0,False,42,47,29336.05
150,25,2.0,1.0,562.91,-43.709,0.03547804,562.91,1.0,0.019971,0.0,0.0,False,39,46,30235.7
151,10,1.0,0.5,562.51,-43.749,0.03545284,562.51,1.0,0.019943,0.0,0.0,False,42,42,29930.74
152,15,2.5,3.0,558.79,-44.121,0.03520995,558.66,0.9998,0.019675,0.13,0.13,False,42,47,28744.65
153,25,3.5,3.0,557.12,-44.288,0.0351129,557.12,1.0,0.019562,0.0,0.0,False,39,64,29088.63
154,15,1.5,1.0,547.79,-45.221,0.03452482,547.79,1.0,0.018912,0.0,0.0,False,42,26,30471.26
155,25,1.5,0.5,546.74,-45.326,0.03445912,546.74,1.0,0.01884,0.0,0.0,False,38,67,31246.37
156,10,2.0,2.5,545.98,-45.402,0.03436208,545.21,0.9986,0.018761,0.78,0.78,False,42,39,29491.24
157,25,3.0,2.5,540.4,-45.96,0.03405929,540.4,1.0,0.018406,0.0,0.0,False,38,54,30383.71
158,20,2.0,1.5,538.42,-46.158,0.03393465,538.42,1.0,0.018271,0.0,0.0,False,42,35,30965.03
159,15,1.0,0.5,536.14,-46.386,0.03379072,536.14,1.0,0.018117,0.0,0.0,False,42,35,31215.94
160,20,2.5,2.5,527.88,-47.212,0.03327017,527.88,1.0,0.017563,0.0,0.0,False,42,45,30820.13
161,10,2.0,3.0,527.9,-47.21,0.03322706,527.2,0.9987,0.017541,0.7,0.7,False,42,39,30295.56
162,20,1.0,0.5,525.98,-47.402,0.03315037,525.98,1.0,0.017436,0.0,0.0,False,42,25,31802.85
163,25,2.5,2.0,524.18,-47.582,0.03303691,524.18,1.0,0.017317,0.0,0.0,False,38,44,31683.79
164,15,2.0,2.0,523.08,-47.692,0.03296687,523.07,1.0,0.017244,0.01,0.01,False,42,36,31181.71
165,25,3.0,3.0,516.76,-48.324,0.03256905,516.76,1.0,0.01683,0.0,0.0,False,38,52,31343.23
166,20,2.5,3.0,505.6,-49.44,0.03186612,505.6,1.0,0.016112,0.0,0.0,False,42,45,31823.28
167,20,1.5,1.0,502.68,-49.732,0.03168182,502.68,1.0,0.015926,0.0,0.0,False,42,22,32907.19
168,25,2.0,1.5,497.24,-50.276,0.03133932,497.24,1.0,0.015583,0.0,0.0,False,38,31,33377.7
169,15,2.0,2.5,488.69,-51.131,0.03079993,488.69,1.0,0.015052,0.01,0.01,False,42,32,32927.57
170,25,2.5,2.5,485.54,-51.446,0.03060143,485.54,1.0,0.014858,-0.0,-0.0,False,38,42,33536.52
171,10,1.5,1.5,481.54,-51.846,0.0303479,481.51,0.9999,0.014614,0.03,0.03,False,42,22,33635.8
172,20,2.0,2.0,476.67,-52.333,0.0300424,476.67,1.0,0.01432,0.0,0.0,False,42,32,34130.38
173,25,1.0,0.5,473.1,-52.69,0.02981738,473.1,1.0,0.014107,0.0,0.0,False,38,14,34534.95
